PhraseID ^ ComplexPhraseEnglishText ^ PhraseCount
485 ^ after -etc...)  up  ^ 6
486 ^ scarlet -scarlet  ^ 6
487 ^ hate -not translated  ^ 6
488 ^ go -not translated  ^ 6
489 ^ thou -not translated  ^ 6
490 ^ after -hill  ^ 6
491 ^ ...time -...time  ^ 6
492 ^ burn -evil  ^ 6
493 ^ cut off -not translated  ^ 6
494 ^ after -midnight +  ^ 6
495 ^ after -Ephraim  ^ 6
496 ^ after -Philistine  ^ 6
497 ^ ask -peace  ^ 6
498 ^ after -vessel  ^ 6
499 ^ after -by  ^ 6
500 ^ after -temple  ^ 6
501 ^ because -because  ^ 6
502 ^ prey -not translated  ^ 6
503 ^ drink -not translated  ^ 6
504 ^ footstool + 07272 -feet  ^ 6
505 ^ after -gold  ^ 6
506 ^ fear -never  ^ 6
507 ^ understand -not translated  ^ 6
508 ^ all -time  ^ 6
509 ^ after -west  ^ 6
510 ^ for my sake -labour  ^ 6
511 ^ after -evil  ^ 6
512 ^ spoil -not translated  ^ 6
513 ^ not -all  ^ 6
514 ^ whomsoever -as  ^ 6
515 ^ little -gold -Bechorath  ^ 6
516 ^ Bozrah -Jesimiel -Chesil  ^ 6
517 ^ gold -finished  ^ 6
518 ^ Ittai -wall  ^ 6
519 ^ strove -drowsiness  ^ 6
520 ^ make your count -Ahithophel  ^ 6
521 ^ strove -Chesulloth  ^ 6
522 ^ awake -strove -will  ^ 6
523 ^ Eliada -wall  ^ 6
524 ^ for them -wall  ^ 6
525 ^ lay up in store -leg  ^ 6
526 ^ lamb -awake  ^ 6
527 ^ separate -asunder  ^ 5
528 ^ open -not translated  ^ 5
529 ^ after -fowl  ^ 5
530 ^ after -house -father  ^ 5
531 ^ number -not translated  ^ 5
532 ^ after -river  ^ 5
533 ^ circumcise -not translated  ^ 5
534 ^ after -against -before  ^ 5
535 ^ after -venison  ^ 5
536 ^ steal -not translated  ^ 5
537 ^ divide -not translated  ^ 5
538 ^ large -hand  ^ 5
539 ^ after -Bethel  ^ 5
540 ^ after -beyond  ^ 5
541 ^ before -any thing  ^ 5
542 ^ year -day  ^ 5
543 ^ all -before  ^ 5
544 ^ hath -bone  ^ 5
545 ^ said -said  ^ 5
546 ^ pay -pay  ^ 5
547 ^ after -ox  ^ 5
548 ^ etc)..near -after  ^ 5
549 ^ cover -against  ^ 5
550 ^ couple -not translated  ^ 5
551 ^ after -against -before  ^ 5
552 ^ well -not translated  ^ 5
553 ^ after -son -twenty -year  ^ 5
554 ^ after -such  ^ 5
555 ^ after -commandments  ^ 5
556 ^ wash -not translated  ^ 5
557 ^ shave -not translated  ^ 5
558 ^ after -rest  ^ 5
559 ^ after -issue  ^ 5
560 ^ fear -after -God  ^ 5
561 ^ son -people  ^ 5
562 ^ soul -man  ^ 5
563 ^ pursue -not translated  ^ 5
564 ^ jealous -not translated  ^ 5
565 ^ turn -after  ^ 5
566 ^ after -border  ^ 5
567 ^ oppress -not translated  ^ 5
568 ^ please -eye  ^ 5
569 ^ after -glory  ^ 5
570 ^ tenth deal -tenth deal  ^ 5
571 ^ after -Kadeshbarnea  ^ 5
572 ^ after -Libnah  ^ 5
573 ^ become -wife  ^ 5
574 ^ know -before  ^ 5
575 ^ after -midst  ^ 5
576 ^ after -appearance  ^ 5
577 ^ against -because  ^ 5
578 ^ after -rock  ^ 5
579 ^ after -precious things  ^ 5
580 ^ wife -...harlot  ^ 5
581 ^ one -...time  ^ 5
582 ^ kindle -not translated  ^ 5
583 ^ tell -tell  ^ 5
584 ^ do -as long  ^ 5
585 ^ uncover -uncover  ^ 5
586 ^ displease -eye  ^ 5
587 ^ reproach -not translated  ^ 5
588 ^ David -not translated  ^ 5
589 ^ uncover -not translated -ear(s)  ^ 5
590 ^ after -pursue  ^ 5
591 ^ plead -not translated  ^ 5
592 ^ do -do  ^ 5
593 ^ break down -not translated  ^ 5
594 ^ except -all  ^ 5
595 ^ after -prophet  ^ 5
596 ^ house -prison  ^ 5
597 ^ compass -against  ^ 5
598 ^ defend -against  ^ 5
599 ^ after -poor  ^ 5
600 ^ array -war  ^ 5
601 ^ except -number  ^ 5
602 ^ after -treasure(s)  ^ 5
603 ^ after -prince  ^ 5
604 ^ what -as  ^ 5
605 ^ all -as  ^ 5
606 ^ after -end  ^ 5
607 ^ after -live  ^ 5
608 ^ after -rubies  ^ 5
609 ^ after -distress  ^ 5
610 ^ before -know  ^ 5
611 ^ as long -ever  ^ 5
612 ^ for my sake -come  ^ 5
613 ^ for my sake -love  ^ 5
614 ^ after -Assyria  ^ 5
615 ^ equal -before  ^ 5
616 ^ extinct -vinedresser  ^ 5
617 ^ gold -Nephtoah  ^ 5
618 ^ Japhia -Jokmeam  ^ 5
619 ^ Bozrah -wall  ^ 5
620 ^ make your count -Giddalti  ^ 5
621 ^ Mattenai -slip  ^ 5
622 ^ girdle -wall  ^ 5
623 ^ hither -allowance  ^ 5
624 ^ such -Sur  ^ 5
625 ^ firstripe -pleasant  ^ 5
626 ^ strove -wall  ^ 5
627 ^ tongue -Carmi  ^ 5
628 ^ dedicate -fear  ^ 5
629 ^ hither -buy  ^ 5
630 ^ Nabal -buy  ^ 5
631 ^ dedicate -tongue  ^ 5
632 ^ pour down -pleasant -palmerworm  ^ 5
633 ^ create -not translated  ^ 4
634 ^ after -tree  ^ 4
635 ^ as if -after  ^ 4
636 ^ bone -hath  ^ 4
637 ^ after -beget  ^ 4
638 ^ offer -after  ^ 4
639 ^ after -sin  ^ 4
640 ^ dig -not translated  ^ 4
641 ^ saddle -not translated  ^ 4
642 ^ spare -not translated  ^ 4
643 ^ as long -doubtless  ^ 4
644 ^ after -Padanaram  ^ 4
645 ^ despise -not translated  ^ 4
646 ^ as long -because  ^ 4
647 ^ after -dew  ^ 4
648 ^ ....out -....out  ^ 4
649 ^ roll -not translated  ^ 4
650 ^ shear -not translated  ^ 4
651 ^ spoil -not translated  ^ 4
652 ^ come -after  ^ 4
653 ^ ask -ask  ^ 4
654 ^ misc -not translated  ^ 4
655 ^ etc)..near -not translated  ^ 4
656 ^ after -Asher  ^ 4
657 ^ after -God  ^ 4
658 ^ servant -not translated  ^ 4
659 ^ city -not translated  ^ 4
660 ^ hath -not translated  ^ 4
661 ^ Moses -not translated  ^ 4
662 ^ after -affliction  ^ 4
663 ^ after -bosom  ^ 4
664 ^ Aaron -not translated  ^ 4
665 ^ cease -not translated  ^ 4
666 ^ after -service  ^ 4
667 ^ chamber -bed  ^ 4
668 ^ fear -after -before  ^ 4
669 ^ after -firstborn  ^ 4
670 ^ before -man  ^ 4
671 ^ after -door  ^ 4
672 ^ midnight + -night  ^ 4
673 ^ bind -not translated  ^ 4
674 ^ command -after  ^ 4
675 ^ after -times past + 08032 -times past + 08543  ^ 4
676 ^ burn -not translated  ^ 4
677 ^ besiege -not translated  ^ 4
678 ^ set -not translated  ^ 4
679 ^ after -even  ^ 4
680 ^ after -loins  ^ 4
681 ^ after -ram(s)  ^ 4
682 ^ ...mercy -not translated  ^ 4
683 ^ slow -anger  ^ 4
684 ^ three -...time  ^ 4
685 ^ enlarge -not translated  ^ 4
686 ^ offering...by fire -LORD  ^ 4
687 ^ after -carcase  ^ 4
688 ^ spread -spread  ^ 4
689 ^ house -not translated  ^ 4
690 ^ copulation -seed  ^ 4
691 ^ after -transgression  ^ 4
692 ^ as -father  ^ 4
693 ^ reap -not translated  ^ 4
694 ^ after -holy -holy  ^ 4
695 ^ keep -not translated  ^ 4
696 ^ after -vine  ^ 4
697 ^ despise -not translated  ^ 4
698 ^ after -mountain  ^ 4
699 ^ ...well -eye  ^ 4
700 ^ give -vengeance  ^ 4
701 ^ after -thousand  ^ 4
702 ^ testify -not translated  ^ 4
703 ^ after -love  ^ 4
704 ^ after -rock  ^ 4
705 ^ wroth -not translated  ^ 4
706 ^ after -flock  ^ 4
707 ^ after -begin  ^ 4
708 ^ as if -he  ^ 4
709 ^ after -near  ^ 4
710 ^ compass -not translated  ^ 4
711 ^ after -Lachish  ^ 4
712 ^ hough -not translated  ^ 4
713 ^ Midian -not translated  ^ 4
714 ^ Manasseh -not translated  ^ 4
715 ^ throw down -not translated  ^ 4
716 ^ send -after  ^ 4
717 ^ after -day -day  ^ 4
718 ^ after -Bethlehem  ^ 4
719 ^ entice -not translated  ^ 4
720 ^ thousand -hundred  ^ 4
721 ^ search -not translated  ^ 4
722 ^ man -footman  ^ 4
723 ^ ... down -not translated  ^ 4
724 ^ set -heart  ^ 4
725 ^ after -reign  ^ 4
726 ^ fight -not translated  ^ 4
727 ^ reign -king  ^ 4
728 ^ before -...) away  ^ 4
729 ^ after -hair  ^ 4
730 ^ after -king  ^ 4
731 ^ after -Gath  ^ 4
732 ^ after -sheath  ^ 4
733 ^ return -before  ^ 4
734 ^ cast... -not translated  ^ 4
735 ^ except -not translated  ^ 4
736 ^ change -not translated  ^ 4
737 ^ after -hand -not translated  ^ 4
738 ^ carpenter -tree  ^ 4
739 ^ after -Geba  ^ 4
740 ^ ride -not translated  ^ 4
741 ^ after -Syria  ^ 4
742 ^ pay -not translated  ^ 4
743 ^ escape -not translated  ^ 4
744 ^ after -violence  ^ 4
745 ^ after -breath  ^ 4
746 ^ after -hate  ^ 4
747 ^ before -return  ^ 4
748 ^ after -cause  ^ 4
749 ^ after -throne  ^ 4
750 ^ ...) captive -not translated  ^ 4
751 ^ return -after  ^ 4
752 ^ become -fear -not translated  ^ 4
753 ^ after -Damascus  ^ 4
754 ^ because -doubtless -not translated  ^ 4
755 ^ bread -shewbread + 03899  ^ 4
756 ^ after -Lebanon  ^ 4
757 ^ Judah -not translated  ^ 4
758 ^ after -great  ^ 4
759 ^ after -captivity  ^ 4
760 ^ of -as  ^ 4
761 ^ as -not  ^ 4
762 ^ people -people  ^ 4
763 ^ good -appearance  ^ 4
764 ^ after -grave  ^ 4
765 ^ after -Almighty  ^ 4
766 ^ after -rebuke  ^ 4
767 ^ after -fine  ^ 4
768 ^ never -kindled  ^ 4
769 ^ after -law  ^ 4
770 ^ give -voice  ^ 4
771 ^ after -judgment  ^ 4
772 ^ for my sake -do  ^ 4
773 ^ how -for my sake -become  ^ 4
774 ^ after -grave  ^ 4
775 ^ after -righteousness  ^ 4
776 ^ book -not translated  ^ 4
777 ^ son -Assyria  ^ 4
778 ^ misc -will  ^ 4
