first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
1147 ^ 3:14.w1-w6 @3:13.w1-w17 ^ subject ^ 1 ^ 2
1149 ^ 3:14.w1 ^ subject ^ 1 ^ 3
1152 ^ 3:14.w6_2 ^ subject ^ 1 ^ 1
1153 ^ 3:14.w7-w12 @3:14.w1-w6 ^ subject ^ 1 ^ 3
1156 ^ 3:14.w10-w12 ^ definer ^ 1 ^ 3
1159 ^ 3:14.w13-w17 @3:14.w7-w12 ^ definer ^ 1 ^ 5
1164 ^ 3:15.w1_2 ^ adjunct ^ 1 ^ 7
1171 ^ 3:15.w8-w9 @3:15.w1-w7 ^ adjunct ^ 1 ^ 2
1173 ^ 3:15.w10-w17 @3:15.w8-w9 ^ adjunct ^ 1 ^ 5
1178 ^ 3:15.w15-w17 ^ adjunct ^ 1 ^ 3
1181 ^ 3:15.w18-w20 @3:15.w1-w7 ^ adjunct ^ 1 ^ 3
1184 ^ 3:16.w1_2 ^ adjunct ^ 1 ^ 9
1193 ^ 3:16.w10-w11 @3:16.w1-w9 ^ adjunct ^ 1 ^ 2
1195 ^ 3:16.w12-w15 @3:16.w10-w11 ^ adjunct ^ 1 ^ 4
1199 ^ 3:16.w16-w28 @3:16.w12-w15 ^ adjunct ^ 1 ^ 6
1205 ^ 3:16.w22-w24 ^ adjunct ^ 1 ^ 3
1208 ^ 3:16.w25-w28 ^ adjunct ^ 1 ^ 4
1212 ^ 3:17.w1-w2 @3:16.w16-w28 ^ adjunct ^ 1 ^ 2
1214 ^ 3:17.w3-w7 @3:17.w1-w2 ^ adjunct ^ 1 ^ 4
1218 ^ 3:17.w7_2 ^ adjunct ^ 1 ^ 1
1219 ^ 3:17.w8-w14 @3:17.w3-w7 ^ adjunct ^ 1 ^ 7
1226 ^ 3:17.w15-w17 @3:17.w8-w14 ^ adjunct ^ 2 ^ 3
1229 ^ 4:1.w1-w14 ^ adjunct ^ 1 ^ 10
1239 ^ 4:1.w11-w14 ^ adjunct ^ 1 ^ 4
1243 ^ 4:2.w1-w9 @4:1.w1-w14 ^ adjunct ^ 1 ^ 1
1244 ^ 4:2.w2-w7 ^ adjunct ^ 1 ^ 8
1252 ^ 4:3.w1-w6 @4:2.w1-w9 ^ adjunct ^ 1 ^ 1
1253 ^ 4:3.w2_2 ^ adjunct ^ 1 ^ 1
1254 ^ 4:3.w3-w4_2 ^ adjunct ^ 1 ^ 4
1258 ^ 4:3.w7-w11 @4:3.w12_2 ^ adjunct ^ 2 ^ 3
1261 ^ 4:3.w8 ^ adjunct ^ 2 ^ 2
1263 ^ 4:3.w12_2 @4:3.w1-w6 ^ adjunct ^ 1 ^ 1
1264 ^ 4:3.w13-w18 @4:3.w12_2 ^ adjunct ^ 1 ^ 6
1270 ^ 4:4.w1-w4 @4:3.w1-w6 ^ adjunct ^ 1 ^ 2
1272 ^ 4:4.w3_2 ^ adjunct ^ 1 ^ 2
1274 ^ 4:4.w5_2 @4:4.w1-w4 ^ adjunct ^ 1 ^ 1
1275 ^ 4:4.w6-w12 @4:4.w5_2 ^ adjunct ^ 1 ^ 7
1282 ^ 4:4.w13-w20 @4:4.w6-w12 ^ adjunct ^ 1 ^ 4
